District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Upper Scioto Valley Local,5420147.33,Hardin,94.3,45125.0,12.0,0.0,39.0,39.0,98.8,20.0,50.6,194.0,194.0,100.0,194.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,30.17,30.17,0.0,0.0,5.73,5.73,0.0,0.0,1.0,1.0,1.68,1.68,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77777777,0.22222222,0.0,0.0,0.0,1.0,0.0,0.0
Conotton Valley Union Local,5138706.75,Harrison,95.8,41887.0,14.0,1.0,32.0,32.0,100.0,18.0,55.6,115.0,115.0,100.0,115.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,22.5,0.0,0.0,5.0,5.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.375,0.46875,0.125,0.03125,0.0,0.5,0.5,0.0,0.0
Holgate Local,5309046.44,Henry,95.7,53140.0,14.0,0.0,36.0,36.0,100.0,16.0,44.1,216.0,202.0,93.5,186.0,86.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,1.33,1.33,3.08,3.08,8.15,8.15,1.0,1.0,3.0,3.0,3.0,3.0,2.15,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03030303,0.27272727,0.69696969,0.0,0.0,0.5,0.0,0.5,0.0
Liberty Center Local,12028703.46,Henry,95.9,60973.0,14.0,1.0,73.0,72.0,98.6,55.0,75.3,469.0,458.0,97.7,458.0,97.7,0.0,0.0,1.0,1.0,4.0,3.83639981,0.0,0.0,1.0,0.95909995,0.0,0.0,1.0,0.95909995,0.0,0.0,0.0,0.0,0.0,0.0,54.0,51.7913975,2.0,1.9181999,15.0,14.3864993,1.0,0.95909995,0.0,0.0,6.0,5.75459972,3.0,2.87729986,6.0,5.75459972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01234567,0.20987654,0.71604938,0.06172839,0.0,0.0,0.33333333,0.66666666,0.0
Patrick Henry Local,10836737.11,Henry,93.9,50679.0,17.0,0.0,73.0,73.0,100.0,48.0,65.6,462.0,453.0,98.1,453.0,98.1,0.0,0.0,1.0,1.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.09,54.09,0.0,0.0,12.65,12.65,11.72,11.72,1.0,1.0,2.5,2.5,2.0,2.0,5.2,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01515151,0.59090909,0.39393939,0.0,0.0,0.0,0.66666666,0.33333333,0.0
Bright Local,7993985.2,Highland,95.4,51443.0,16.0,1.0,49.0,49.0,100.0,35.0,72.9,187.0,181.0,96.8,181.0,96.8,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,1.0,1.0,8.52,8.52,3.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39130434,0.58695652,0.02173913,0.0,0.0,0.0,1.0,0.0
Fairfield Local,9756589.37,Highland,95.1,49461.0,13.0,0.0,59.0,59.0,100.0,34.0,58.1,311.0,311.0,100.0,311.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,2.0,2.0,5.7,5.7,4.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1090909,0.23636363,0.63636363,0.01818181,0.0,0.0,1.0,0.0,0.0
Lynchburg-Clay Local,11388737.35,Highland,96.3,51377.0,12.0,1.0,80.0,80.0,100.0,66.0,82.3,378.0,366.0,96.8,364.0,96.3,0.0,0.0,1.0,1.0,1.0,0.84675161,2.0,1.69350322,0.0,0.0,0.0,0.0,3.71,3.14144848,0.0,0.0,0.0,0.0,0.0,0.0,58.17,49.2555412,1.0,0.84675161,15.11,12.7944168,14.36,12.1593531,0.0,0.0,2.0,1.69350322,3.0,2.54025483,4.0,3.38700644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14102564,0.85897435,0.0,0.0,0.0,0.0,1.0,0.0
East Holmes Local,18431947.25,Holmes,95.7,59712.0,17.0,0.0,108.0,106.0,98.1,64.0,59.6,712.0,712.0,100.0,712.0,100.0,0.0,0.0,1.0,1.0,2.0,1.24081216,0.0,0.0,0.0,0.0,0.0,0.0,1.68,1.04228221,0.0,0.0,0.0,0.0,0.0,0.0,81.96,50.8484823,4.0,2.48162432,15.0,9.30609121,2.0,1.24081216,0.87,0.53975329,3.19,1.97909539,3.18,1.97289133,3.0,1.86121824,0.0,0.0,0.0,0.0,1.0,0.62040608,0.0,0.03125,0.6796875,0.265625,0.0234375,0.0,0.0,1.0,0.0,0.0
West Holmes Local,22494677.67,Holmes,96.0,55423.0,14.0,0.0,139.0,138.0,99.3,86.0,62.1,633.0,632.0,99.8,622.0,98.3,0.0,0.0,1.0,1.0,3.0,1.3643036,1.0,0.45476786,3.0,1.3643036,0.0,0.0,1.0,0.45476786,0.0,0.0,0.0,0.0,0.0,0.0,98.0,44.567251,3.0,1.3643036,29.0,13.1882681,16.0,7.27628588,0.0,0.0,6.0,2.7286072,5.5,2.50122327,6.0,2.7286072,0.01,0.00454767,0.0,0.0,2.0,0.90953573,0.0,0.03333333,0.5,0.46666666,0.0,0.0,0.0,0.11111111,0.88888888,0.0
Monroeville Local,6479882.09,Huron,95.4,48990.0,16.0,1.0,47.0,47.0,100.0,25.0,53.4,201.0,199.0,99.0,199.0,99.9,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.32,32.32,2.0,2.0,8.63,8.63,6.13,6.13,0.5,0.5,2.0,2.0,2.0,2.0,2.14,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19565217,0.67391304,0.13043478,0.0,0.0,0.0,1.0,0.0,0.0
New London Local,9853151.14,Huron,94.4,52530.0,15.0,1.0,65.0,65.0,100.0,30.0,46.1,289.0,289.0,100.0,280.0,96.9,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,2.0,2.0,13.96,13.96,2.13,2.13,0.0,0.0,2.35,2.35,3.0,3.0,3.15,3.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03174603,0.73015873,0.23809523,0.0,0.0,0.0,1.0,0.0,0.0
South Central Local,9056778.43,Huron,95.0,54463.0,16.0,3.0,55.0,55.0,100.0,33.0,59.2,232.0,227.0,97.8,218.0,99.4,0.0,0.0,1.0,0.67,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.66,41.66,1.0,1.0,8.64,8.64,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.72,2.72,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.37096774,0.54838709,0.08064516,0.0,0.0,0.0,1.0,0.0
Western Reserve Local,12805732.93,Huron,94.2,59353.0,17.0,0.0,66.0,66.0,100.0,41.0,61.7,335.0,335.0,100.0,335.0,100.0,0.0,0.0,1.0,1.0,4.0,3.78410935,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.78410935,0.0,0.0,0.0,0.0,0.0,0.0,46.0,43.5172576,3.0,2.83808201,6.85,6.48028727,8.0,7.56821871,0.0,0.0,2.0,1.89205467,2.5,2.36506834,3.14,2.97052584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01428571,0.32857142,0.64285714,0.01428571,0.0,0.0,0.0,1.0,0.0
Western Reserve Local,12805732.93,Mahoning,96.9,53536.0,15.0,0.0,50.0,50.0,100.0,33.0,65.8,216.0,215.0,99.5,215.0,99.5,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05,38.05,1.0,1.0,8.69,8.69,0.0,0.0,0.0,0.0,11.0,11.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.12820512,0.84615384,0.02564102,0.0,0.0,0.0,1.0,0.0
Oak Hill Union Local,12306380.92,Jackson,94.9,52194.0,13.0,0.0,81.0,81.0,100.0,60.0,73.9,355.0,355.0,100.0,355.0,100.0,0.0,0.0,1.0,1.0,2.0,1.68729654,1.0,0.84364827,1.0,0.84364827,0.0,0.0,3.0,2.53094481,0.0,0.0,0.0,0.0,0.0,0.0,63.0,53.149841,0.0,0.0,14.2,11.9798054,10.0,8.43648271,1.0,0.84364827,3.0,2.53094481,2.0,1.68729654,7.0,5.90553789,0.0,0.0,0.0,0.0,1.0,0.84364827,0.0,0.01234567,0.51851851,0.4691358,0.0,0.0,0.0,0.5,0.5,0.0
Buckeye Local,18794993.23,Ashtabula,94.6,60075.0,16.0,0.0,100.0,100.0,100.0,71.0,71.3,462.0,462.0,100.0,462.0,100.0,0.0,0.0,1.0,1.0,3.0,1.75327488,2.0,1.16884992,0.0,0.0,0.0,0.0,2.77,1.61885714,0.0,0.0,0.0,0.0,0.0,0.0,76.13,44.4922724,1.0,0.58442496,12.66,7.39882002,0.0,0.0,1.0,0.58442496,3.0,1.75327488,4.0,2.33769985,3.0,1.75327488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11340206,0.86597938,0.02061855,0.0,0.0,0.0,1.0,0.0
Buckeye Local,18794993.23,Jefferson,93.9,38365.0,12.0,2.0,165.0,164.0,99.4,91.0,55.1,667.0,656.0,98.4,656.0,98.4,0.0,0.0,1.0,1.0,2.0,1.13501044,1.0,0.56750522,1.0,0.56750522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.94,58.4189873,7.0,3.97253653,29.0,16.4576513,2.5,1.41876304,2.0,1.13501044,3.0,1.70251565,6.0,3.40503131,8.0,4.54004175,0.0,0.0,0.0,0.0,2.0,1.13501044,0.0,0.36111111,0.58333333,0.03472222,0.02083333,0.0,0.33333333,0.66666666,0.0,0.0
Buckeye Local,18794993.23,Medina,95.5,62425.0,13.0,1.0,122.0,117.0,95.9,74.0,60.7,507.0,507.0,100.0,507.0,100.0,0.0,0.0,1.0,0.75,5.24,2.36852132,0.0,0.0,2.24,1.01249766,1.5,0.67801183,1.63,0.73677285,0.0,0.0,0.0,0.0,0.0,0.0,91.88,41.5304846,1.64,0.74129293,17.83,8.05930061,0.81,0.36612638,0.17,0.07684134,6.0,2.71204731,4.68,2.1153969,6.25,2.82504929,0.0,0.0,0.0,0.0,2.33,1.05317837,0.0,0.0,0.296,0.688,0.016,0.0,0.0,0.8,0.2,0.0
Edison Local,18030000.02,Jefferson,94.5,48573.0,15.0,2.0,90.0,90.0,100.0,51.0,56.7,465.0,465.0,100.0,465.0,100.0,0.0,0.0,1.0,1.0,2.0,1.32100574,2.0,1.32100574,1.0,0.66050287,0.0,0.0,1.0,0.66050287,0.0,0.0,0.0,0.0,0.0,0.0,70.19,46.3606966,1.5,0.9907543,14.5,9.57729164,0.0,0.0,0.0,0.0,3.0,1.98150861,5.0,3.30251436,6.0,3.96301723,0.0,0.0,0.0,0.0,1.0,0.66050287,0.0,0.01086956,0.34782608,0.64130434,0.0,0.0,0.0,0.0,0.0,1.0
Indian Creek Local,17776504.47,Jefferson,94.2,40702.0,17.0,1.0,134.0,134.0,100.0,87.0,65.1,687.0,680.0,99.0,680.0,99.9,0.0,0.0,1.0,1.0,5.0,2.31727421,2.0,0.92690968,1.0,0.46345484,0.0,0.0,5.5,2.54900163,0.0,0.0,1.0,0.46345484,0.0,0.0,100.15,46.4150025,4.66,2.15969957,22.67,10.5065213,25.1,11.6327165,0.0,0.0,5.0,2.31727421,5.73,2.65559625,7.0,3.2441839,0.0,0.0,0.0,0.0,2.0,0.92690968,0.0,0.00840336,0.2605042,0.70588235,0.02521008,0.0,0.0,0.16666666,0.66666666,0.16666666
Centerburg Local,10137822.77,Knox,94.7,50494.0,14.0,0.0,66.0,66.0,100.0,24.0,36.5,373.0,366.0,98.1,366.0,98.1,0.0,0.0,1.0,1.0,1.0,0.93395816,1.0,0.93395816,1.0,0.93395816,0.0,0.0,2.0,1.86791633,0.0,0.0,0.0,0.0,2.0,1.86791633,51.0,47.6318666,2.0,1.86791633,8.57,8.0040215,0.0,0.0,1.0,0.93395816,2.51,2.344235,2.45,2.28819751,5.5,5.13676992,0.0,0.0,0.0,0.0,1.0,0.93395816,0.0,0.01470588,0.29411764,0.69117647,0.0,0.0,0.0,0.5,0.5,0.0
Danville Local,7326735.51,Knox,95.9,47152.0,14.0,1.0,50.0,50.0,100.0,22.0,45.3,250.0,245.0,98.0,245.0,99.8,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.75,0.75,1.0,1.0,2.5,2.5,0.0,0.0,0.0,0.0,4.0,4.0,32.46,32.46,2.0,2.0,10.72,10.72,1.0,1.0,0.5,0.5,1.95,1.95,2.87,2.87,1.99,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960784,0.45098039,0.50980392,0.01960784,0.0,0.0,0.0,1.0,0.0
East Knox Local,8913035.92,Knox,95.9,39729.0,11.0,1.0,60.0,60.0,100.0,31.0,51.4,312.0,312.0,100.0,312.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,44.25,44.25,2.63,2.63,7.96,7.96,1.67,1.67,1.0,1.0,1.18,1.18,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.88,0.88,0.0,0.0,0.42372881,0.57627118,0.0,0.0,0.0,0.0,1.0,0.0
Fredericktown Local,10682283.99,Knox,94.9,49564.0,12.0,0.0,67.0,67.0,100.0,35.0,53.2,330.0,330.0,100.0,330.0,100.0,0.0,0.0,1.0,1.0,3.0,2.45430478,0.15,0.12271523,1.0,0.81810159,0.0,0.0,2.0,1.63620318,0.0,0.0,0.0,0.0,2.0,1.63620318,51.0,41.7231812,1.0,0.81810159,10.22,8.36099828,12.84,10.5044244,2.5,2.04525398,1.41,1.15352324,1.88,1.53803099,3.0,2.45430478,0.0,0.0,0.0,0.0,2.0,1.63620318,0.0,0.01351351,0.54054054,0.37837837,0.06756756,0.0,0.0,0.75,0.0,0.25
Kirtland Local,14592735.33,Lake,96.9,71770.0,15.0,2.0,73.0,73.0,100.0,60.0,82.1,345.0,345.0,100.0,345.0,100.0,0.0,0.0,1.0,1.0,2.98,2.54749792,1.52,1.29939491,1.0,0.85486507,0.0,0.0,3.49,2.98347911,0.0,0.0,0.0,0.0,0.0,0.0,58.97,50.4113935,0.0,0.0,8.24,7.04408822,0.0,0.0,1.0,0.85486507,2.99,2.55604657,3.0,2.56459522,3.5,2.99202776,0.0,0.0,0.0,0.0,1.0,0.85486507,0.0,0.0,0.25714285,0.74285714,0.0,0.0,0.0,0.0,1.0,0.0
Madison Local,27566552.84,Butler,96.1,48899.0,11.0,2.0,100.0,100.0,100.0,46.0,45.8,571.0,562.0,98.4,562.0,98.4,0.0,0.0,1.0,1.0,6.0,4.00611682,3.0,2.00305841,0.0,0.0,0.0,0.0,3.93,2.62400651,0.0,0.0,0.0,0.0,0.0,0.0,68.76,45.9100987,1.0,0.66768613,23.13,15.4435803,32.89,21.960197,0.0,0.0,7.0,4.67380295,3.0,2.00305841,8.0,5.34148909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01086956,0.32608695,0.59782608,0.06521739,0.0,0.0,0.0,1.0,0.0
Madison Local,27566552.84,Lake,94.4,66173.0,15.0,0.0,148.0,148.0,100.0,118.0,80.1,811.0,807.0,99.5,807.0,99.5,0.0,0.0,1.0,1.0,3.0,0.98765409,0.0,0.0,2.5,0.82304508,0.0,0.0,3.48,1.14567875,0.0,0.0,0.0,0.0,0.0,0.0,114.75,37.7777693,0.0,0.0,22.25,7.32510123,25.68,8.45431908,1.0,0.32921803,7.0,2.30452623,4.5,1.48148114,6.0,1.97530819,0.75,0.24691352,0.0,0.0,4.0,1.31687213,0.0,0.0,0.10828025,0.88535031,0.00636942,0.0,0.0,0.0,1.0,0.0
Madison Local,27566552.84,Richland,94.7,50490.0,13.0,1.0,222.0,217.0,97.7,138.0,62.3,878.0,876.0,99.8,876.0,99.8,0.0,0.0,1.0,1.0,6.0,1.96530262,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.63775219,0.0,0.0,0.0,0.0,0.0,0.0,146.4,47.9533841,19.0,6.22345832,35.0,11.4642653,26.61,8.71611716,0.0,0.0,4.0,1.31020175,9.0,2.94795394,10.36,3.39342254,0.0,0.0,0.0,0.0,1.0,0.32755043,0.0,0.009009,0.39639639,0.59459459,0.0,0.0,0.0,0.3,0.7,0.0
Riverside Local,41573221.22,Lake,94.5,60408.0,14.0,0.0,229.0,229.0,100.0,169.0,73.7,1579.0,1579.0,100.0,1579.0,100.0,0.0,0.0,1.0,1.0,7.5,1.85510727,1.0,0.24734763,0.0,0.0,0.0,0.0,3.0,0.74204291,0.0,0.0,0.0,0.0,0.0,0.0,169.5,41.9254244,3.0,0.74204291,42.41,10.4900132,30.33,7.50205381,0.0,0.0,7.0,1.73143345,6.0,1.48408581,7.0,1.73143345,1.0,0.24734763,0.0,0.0,3.0,0.74204291,0.0,0.01271186,0.14830508,0.77542372,0.06355932,0.0,0.0,0.0,1.0,0.0
Riverside Local,41573221.22,Logan,95.5,42880.0,15.0,0.0,56.0,56.0,100.0,29.0,51.8,283.0,283.0,100.0,283.0,100.0,0.0,0.0,1.0,1.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.54,43.54,0.0,0.0,10.93,10.93,0.0,0.0,1.0,1.0,4.01,4.01,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56521739,0.4347826,0.0,0.0,0.0,1.0,0.0,0.0
Perry Local,25175487.55,Allen,93.9,53382.0,14.0,0.0,48.0,48.0,100.0,26.0,54.7,237.0,237.0,100.0,237.0,100.0,0.0,0.0,1.0,1.0,2.1,2.1,1.0,1.0,0.0,0.0,0.0,0.0,2.03,2.03,0.0,0.0,0.0,0.0,0.0,0.0,33.98,33.98,0.0,0.0,8.92,8.92,5.0,5.0,0.2,0.2,19.0,19.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85416666,0.125,0.02083333,0.0,0.0,0.5,0.5,0.0
Perry Local,25175487.55,Lake,92.5,71435.0,13.0,0.0,105.0,105.0,100.0,75.0,71.4,485.0,479.0,98.8,479.0,98.8,0.0,0.0,1.0,1.0,3.0,1.7431331,2.0,1.16208873,1.0,0.58104436,0.0,0.0,2.85,1.65597644,0.0,0.0,0.0,0.0,1.0,0.58104436,83.31,48.4068062,0.0,0.0,17.7,10.2844853,0.0,0.0,0.0,0.0,4.0,2.32417746,4.0,2.32417746,3.0,1.7431331,0.0,0.0,0.0,0.0,2.0,1.16208873,0.0,0.00833333,0.3,0.69166666,0.0,0.0,0.0,0.66666666,0.33333333,0.0
Perry Local,25175487.55,Stark,95.8,61788.0,14.0,0.0,277.0,271.0,97.8,175.0,63.0,1457.0,1453.0,99.7,1452.0,99.7,0.0,0.0,1.0,1.0,14.94,3.16204975,5.0,1.05824958,5.0,1.05824958,1.0,0.21164991,7.65,1.61912186,0.0,0.0,0.0,0.0,0.0,0.0,192.87,40.8209194,17.0,3.59804858,37.2,7.87337691,3.56,0.7534737,3.81,0.80638618,8.16,1.72706332,9.5,2.01067421,11.5,2.43397404,0.0,0.0,0.0,0.0,5.0,1.05824958,0.0,0.04745762,0.64067796,0.30508474,0.00677966,0.0,0.0,0.92307692,0.07692307,0.0
Dawson-Bryant Local,12541034.83,Lawrence,92.2,53837.0,16.0,1.0,79.0,79.0,100.0,31.0,38.8,288.0,284.0,98.6,284.0,98.6,0.0,0.0,1.0,1.0,2.0,1.85348004,2.0,1.85348004,0.0,0.0,0.0,0.0,1.0,0.92674002,0.0,0.0,0.0,0.0,0.0,0.0,63.0,58.3846213,3.0,2.78022006,4.76,4.41128249,2.0,1.85348004,0.0,0.0,2.0,1.85348004,2.0,1.85348004,4.0,3.70696008,0.0,0.0,0.0,0.0,1.0,0.92674002,0.0,0.0,0.07594936,0.89873417,0.02531645,0.0,0.0,0.0,0.8,0.2
Fairland Local,14054332.64,Lawrence,96.8,52478.0,9.0,0.0,84.0,84.0,100.0,34.0,40.5,467.0,455.0,97.4,455.0,97.4,0.0,0.0,1.0,1.0,3.0,1.8894187,1.0,0.62980623,0.0,0.0,0.0,0.0,1.0,0.62980623,0.0,0.0,0.0,0.0,0.0,0.0,66.0,41.5672114,1.0,0.62980623,12.2,7.68363605,12.0,7.5576748,1.0,0.62980623,2.0,1.25961246,3.0,1.8894187,4.0,2.51922493,0.0,0.0,0.0,0.0,1.0,0.62980623,0.0,0.0,0.20224719,0.7977528,0.0,0.0,0.0,0.0,1.0,0.0
Rock Hill Local,18810152.919999998,Lawrence,95.0,55281.0,13.0,2.0,110.0,104.0,94.5,45.0,40.7,566.0,564.0,99.6,564.0,99.6,0.0,0.0,1.0,1.0,3.0,2.20302027,3.0,2.20302027,0.0,0.0,0.0,0.0,3.0,2.20302027,0.0,0.0,0.0,0.0,0.0,0.0,77.0,56.544187,3.0,2.20302027,25.86,18.9900347,12.0,8.81208109,1.0,0.73434009,26.0,19.0928423,3.0,2.20302027,4.2,3.08422838,0.0,0.0,0.0,0.0,2.0,1.46868018,0.0,0.0,0.5,0.47272727,0.02727272,0.0,0.0,1.0,0.0,0.0
South Point Local,15724024.17,Lawrence,93.7,53235.0,13.0,0.0,95.0,94.0,99.0,24.0,25.1,433.0,433.0,100.0,433.0,100.0,0.0,0.0,1.0,1.0,3.0,1.9638631,2.0,1.30924206,0.0,0.0,0.0,0.0,4.0,2.61848413,0.0,0.0,0.0,0.0,0.0,0.0,79.5,52.0423721,1.0,0.65462103,10.31,6.74914285,7.0,4.58234723,1.0,0.65462103,1.0,0.65462103,4.5,2.94579465,2.0,1.30924206,0.0,0.0,0.0,0.0,1.0,0.65462103,0.0,0.01869158,0.42990654,0.54205607,0.00934579,0.0,0.0,0.57142857,0.42857142,0.0
Symmes Valley Local,9663174.81,Lawrence,95.9,48252.0,13.0,0.0,61.0,61.0,100.0,13.0,20.7,272.0,266.0,97.8,266.0,97.8,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,4.25,4.25,0.0,0.0,0.0,0.0,0.0,0.0,46.58,46.58,2.0,2.0,5.25,5.25,5.0,5.0,1.0,1.0,18.75,18.75,5.0,5.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.16129032,0.83870967,0.0,0.0,0.0,0.0,1.0,0.0
Johnstown-Monroe Local,14273438.93,Licking,94.9,51104.0,11.0,0.0,101.0,101.0,100.0,76.0,74.8,533.0,532.0,99.8,532.0,99.8,0.0,0.0,1.0,0.86,2.0,1.32972986,1.0,0.66486493,1.0,0.66486493,0.0,0.0,6.0,3.98918958,0.0,0.0,0.13,0.08643244,0.0,0.0,73.0,48.5351399,3.0,1.99459479,9.26,6.15664925,4.0,2.65945972,1.2,0.79783791,2.0,1.32972986,3.0,1.99459479,3.5,2.32702725,0.0,0.0,0.0,0.0,1.0,0.66486493,0.0,0.07920792,0.68316831,0.23762376,0.0,0.0,0.0,0.75,0.25,0.0
Lakewood Local,21897358.240000002,Licking,95.1,56788.0,14.0,0.0,134.0,134.0,100.0,101.0,75.2,650.0,645.0,99.2,645.0,99.2,0.0,0.0,1.0,1.0,3.65,1.95473409,0.0,0.0,2.0,1.07108717,0.0,0.0,5.0,2.67771793,0.0,0.0,0.0,0.0,1.0,0.53554358,100.96,54.0684804,1.0,0.53554358,18.83,10.0842857,2.0,1.07108717,1.0,0.53554358,5.08,2.72056141,6.0,3.21326151,9.08,4.86273576,0.0,0.0,0.0,0.0,3.0,1.60663075,0.0,0.00735294,0.55882352,0.39705882,0.0367647,0.0,0.0,1.0,0.0,0.0
Licking Heights Local,38173728.57,Licking,94.3,51370.0,10.0,4.0,231.0,231.0,99.9,147.0,63.8,1388.0,1388.0,100.0,1388.0,100.0,0.0,0.0,1.0,1.0,5.0,1.20659057,1.0,0.24131811,0.0,0.0,0.0,0.0,4.68,1.12936877,0.0,0.0,0.0,0.0,0.0,0.0,179.39,43.2900564,1.0,0.24131811,34.81,8.40028354,0.0,0.0,3.5,0.84461339,13.68,3.3012318,11.0,2.65449925,12.09,2.91753599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28744939,0.63967611,0.06882591,0.00404858,0.0,0.88888888,0.0,0.0,0.11111111
