District,OperatingExpenditures,County,Address,"City, State, Zip",Superintendent,K3 Literacy Grade,K3 Literacy Percent,Total Students Off Track Point A,Total Students Moved to On Track Point B,RIMP Deductions,Current Year % of Kindergarteners Not on Track,Students Off Track Year 1,Students Moved to On Track Year 1,Students Off Track Year 2,Students Moved to On Track Year 2,Students off Track Year 3,Students Moved to On Track Year 3,Students Off Track  Year 4,Students Moved to On Track Year 4,% of 3rd Graders Meeting 3rd Grade Reading Guarantee
Madison Local,32372247.18,Butler,1324 Middletown Eaton Rd,"Middletown, OH, 45042-1525",Charles C. Philpot,C,39.8,93,37,NC,39.2,NC,NC,NC,NC,NC,NC,NC,NC,96.2
Madison Local,32372247.18,Lake,1956 Red Bird Rd,"Madison, OH, 44057-2122",Angela M. Smith,C,42.9,156,67,NC,40.7,NC,NC,NC,NC,NC,NC,NC,NC,91.2
Madison Local,32372247.18,Richland,1379 Grace St,"Mansfield, OH, 44905-2742",Shelley L. Hilderbrand,B,59.4,138,82,NC,55.1,NC,NC,NC,NC,NC,NC,NC,NC,87.4
Plymouth-Shiloh Local,8710224.27,Richland,365 Sandusky St,"Plymouth, OH, 44865-1135",James E. Metcalf,C,38.4,73,28,NC,31.9,NC,NC,NC,NC,NC,NC,NC,NC,96.9
Ontario Local,16120957.8,Richland,457 Shelby Ontario Rd,"Mansfield, OH, 44906-1029",Lisa A. Carmichael,B,62.4,101,63,NC,16.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Adena Local,10953341.77,Ross,3367 County Road 550,"Frankfort, OH, 45628-9503",John W. Balzer,D,21.7,92,20,NC,19.3,NC,NC,NC,NC,NC,NC,NC,NC,94.7
Huntington Local,13590918.379999999,Ross,188 Huntsman Rd,"Chillicothe, OH, 45601-9378",Peter T. Ruby,D,22.7,128,29,NC,38.2,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Paint Valley Local,8838221.1,Ross,7454 Us Highway 50 W,"Bainbridge, OH, 45612-9708",Timothy J. Winland,D,22.0,41,9,NC,29.8,NC,NC,NC,NC,NC,NC,NC,NC,89.5
Southeastern Local,11010191.11,Clark,226 Clifton Rd,"South Charleston, OH, 45368-9602",David M. Shea,B,73.6,53,39,NC,80.0,NC,NC,NC,NC,NC,NC,NC,NC,93.5
Southeastern Local,11010191.11,Ross,2003 Lancaster Rd,"Chillicothe, OH, 45601-8213",Brian Justice,D,11.4,70,8,12,15.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Union-Scioto Local,19617895.98,Ross,1565 Egypt Pike,"Chillicothe, OH, 45601-3974",Matthew G. Thornsberry,B,51.1,184,94,NC,36.5,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Zane Trace Local,13040091.100000001,Ross,946 State Route 180,"Chillicothe, OH, 45601-8141",Jerry L. Mowery,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Lakota Local,11179520.65,Butler,5572 Princeton Rd,"Liberty Township, OH, 45011-9726",Matthew J. Miller,B,53.8,770,414,NC,10.2,143,98,172,71,318,209,137,36,95.8
Lakota Local,11179520.65,Sandusky,5200 County Road 13,"Kansas, OH, 44841-9617",Chad D. Coffman,D,16.4,226,37,13,100.0,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Woodmore Local,10607454.84,Sandusky,349 Rice St,"Elmore, OH, 43416-9404",Timothy S. Rettig,D,23.1,26,6,NC,13.0,NC,NC,NC,NC,NC,NC,NC,NC,93.1
Bloom-Vernon Local,8981682.21,Scioto,PO Box 237,"South Webster, OH, 45682-0237",Marc L. Kreischer,C,46.9,81,38,NC,46.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Clay Local,5903921.88,Scioto,44 Clay High St,"Portsmouth, OH, 45662-8817",William T. Warnock,C,40.6,32,13,NC,24.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Green Local,6375339.8,Scioto,4070 Gallia Pike,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,A,86.0,100,86,NC,73.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Green Local,6375339.8,Summit,PO Box 218,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,30.5,174,53,11,17.5,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Green Local,6375339.8,Wayne,PO Box 438,"Smithville, OH, 44677-0438",Dean E. Frank,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Minford Local,13105329.610000001,Scioto,PO Box 204,"Minford, OH, 45653-0204",Jeremy A. Litteral,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Northwest Local,17040976.9,Hamilton,3240 Banning Rd,"Cincinnati, OH, 45239-5207",Todd D. Bowling,C,27.4,602,165,NC,27.8,147,59,124,28,134,39,197,39,97.5
Northwest Local,17040976.9,Scioto,800 Mohawk Dr,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,B,55.2,58,32,NC,40.5,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Northwest Local,17040976.9,Stark,2309 Locust St S,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,C,28.2,71,20,NC,10.1,NC,NC,NC,NC,NC,NC,NC,NC,90.8
Valley Local,10618275.559999999,Scioto,1821 State Route 728,"Lucasville, OH, 45648-8510",Jeffrey S. Rolfe,C,43.5,62,27,NC,38.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Washington-Nile Local,15299788.38,Scioto,15332 Us Highway 52,"West Portsmouth, OH, 45663-9093",Donald J. Stricklett,C,24.5,229,56,NC,46.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Wheelersburg Local,12827169.17,Scioto,PO Box 340,"Wheelersburg, OH, 45694-0340",Mark W. Knapp,B,67.9,53,36,NC,13.7,NC,NC,NC,NC,NC,NC,NC,NC,96.9
Seneca East Local,9216943.73,Seneca,13343 E US Highway 224,"Attica, OH, 44807-9301",Laura A. Kagy,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Hopewell-Loudon Local,7564595.34,Seneca,PO Box 400,"Bascom, OH, 44809-0400",David R. Alvarado,C,30.0,40,12,NC,12.2,NC,NC,NC,NC,NC,NC,NC,NC,90.9
New Riegel Local,4509813.75,Seneca,44 N Perry St,"New Riegel, OH, 44853-9776",David A. Rombach,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,96.4
Old Fort Local,6914622.68,Seneca,7635 N County Rd 51,"Tiffin, OH, 44883",Stephen J. Anway,D,6.3,32,2,NC,7.9,NC,NC,NC,NC,NC,NC,NC,NC,95.9
Anna Local,11321487.129999999,Shelby,PO Box 169,"Anna, OH, 45302-0169",Andrew A. Bixler,D,23.3,43,10,NC,21.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Botkins Local,6129835.37,Shelby,404 E State St,"Botkins, OH, 45306-8006",Jeffrey T. McPheron,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fairlawn Local,5962819.17,Shelby,18800 Johnston Rd,"Sidney, OH, 45365-9755",Jeffrey R. Hobbs,C,43.6,39,17,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fort Loramie Local,7709822.5600000005,Shelby,PO Box 26,"Fort Loramie, OH, 45845-0026",Daniel B. Holland,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Hardin-Houston Local,7821739.3100000005,Shelby,5300 Houston Rd,"Houston, OH, 45333-8630",Larry J. Claypool,C,46.7,122,57,NC,43.5,NC,NC,NC,NC,NC,NC,NC,NC,98.7
Jackson Center Local,5097408.04,Shelby,PO Box 849,"Jackson Center, OH, 45334-0849",William M. Reichert,B,73.9,23,17,NC,19.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Russia Local,4036277.83,Shelby,100 School St,"Russia, OH, 45363-9811",Steven J. Rose,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Canton Local,23541394.85,Stark,600 Faircrest St SE,"Canton, OH, 44707-1118",Stephen P. Milano,C,25.7,167,43,NC,41.4,NC,NC,NC,NC,NC,NC,NC,NC,87.5
Fairless Local,13956307.41,Stark,11885 Navarre Rd SW,"Navarre, OH, 44662-9485",Broc A. Bidlack,C,38.9,211,82,NC,58.0,60,39,49,18,57,19,45,13,99.1
Jackson Local,52185562.9,Stark,7602 Fulton Dr NW,"Massillon, OH, 44646-9393",Christopher A. Diloreto,B,57.9,152,88,NC,14.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lake Local,31106345.29,Stark,436 King Church Ave SW,"Uniontown, OH, 44685-8220",Kevin T. Tobin,C,45.9,157,72,NC,14.3,46,33,31,11,39,12,41,21,100.0
Lake Local,31106345.29,Wood,28090 Lemoyne Rd,"Millbury, OH, 43447-9747",James T. Witt,C,46.6,161,75,NC,28.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Louisville City,25584786.04,Stark,407 E Main St,"Louisville, OH, 44641-1419",Michele M. Shaffer,B,60.8,153,93,NC,6.7,58,54,25,11,37,15,33,13,89.8
Marlington Local,21426185.23,Stark,10320 Moulin Ave NE,"Alliance, OH, 44601-5906",Joseph A. Knoll,B,67.0,94,63,NC,36.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Minerva Local,15659257.98,Stark,406 East St,"Minerva, OH, 44657-1429",Gary M. Chaddock,B,51.8,114,59,NC,21.8,NC,NC,NC,NC,NC,NC,NC,NC,83.5
Northwest Local,18576030.9,Hamilton,3240 Banning Rd,"Cincinnati, OH, 45239-5207",Todd D. Bowling,C,27.4,602,165,NC,27.8,147,59,124,28,134,39,197,39,97.5
Northwest Local,18576030.9,Scioto,800 Mohawk Dr,"Mc Dermott, OH, 45652-9000",Anthony T. Jenkins,B,55.2,58,32,NC,40.5,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Northwest Local,18576030.9,Stark,2309 Locust St S,"Canal Fulton, OH, 44614-9389",Michael R. Shreffler,C,28.2,71,20,NC,10.1,NC,NC,NC,NC,NC,NC,NC,NC,90.8
Osnaburg Local,7835841.449999999,Stark,310 Browning Ct N,"East Canton, OH, 44730-1248",Todd D. Boggs,C,25.8,31,8,NC,22.6,NC,NC,NC,NC,NC,NC,NC,NC,98.1
Perry Local,44408528.15,Allen,2770 E Breese Rd,"Lima, OH, 45806-9743",Alison R. Van Gorder,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,85.7
Perry Local,44408528.15,Lake,4325 Manchester Ave,"Perry, OH, 44081-9413",Jack K. Thompson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,97.2
Perry Local,44408528.15,Stark,4201 13th St SW,"Massillon, OH, 44646-3447",Scott A. Beatty,B,49.5,321,159,NC,32.0,80,61,44,17,77,21,120,62,100.0
Plain Local,49655303.79,Stark,901 44th St NW,"Canton, OH, 44709-1611",Brent W. May,C,40.2,254,102,NC,14.7,43,31,40,23,65,20,106,36,99.3
Sandy Valley Local,13832703.899999999,Stark,5362 State Route 183 NE,"Magnolia, OH, 44643-8481",David J. Fischer,C,33.6,134,45,12,40.2,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Tuslaw Local,11646720.969999999,Stark,1835 Manchester Ave NW,"Massillon, OH, 44647-9623",Melissa M. Marconi,C,43.2,148,64,NC,99.0,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Woodridge Local,24874762.91,Summit,4411 Quick Rd,"Peninsula, OH, 44264-9706",Walter C. Davis,C,47.3,169,80,NC,47.2,NC,NC,NC,NC,NC,NC,NC,NC,99.2
Copley-Fairlawn City,32479150.77,Summit,3797 Ridgewood Rd,"Copley, OH, 44321-1665",Brian E. Poe,A,77.6,125,97,NC,17.9,NC,NC,NC,NC,NC,NC,NC,NC,99.5
Coventry Local,18805027.259999998,Summit,2910 S Main St,"Akron, OH, 44319-1849",Russell A. Chaboudy,B,58.4,77,45,NC,15.1,NC,NC,NC,NC,NC,NC,NC,NC,97.0
Manchester Local,13705251.66,Adams,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",Brian E. Rau,B,50.0,48,24,NC,100.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Manchester Local,13705251.66,Summit,6075 Manchester Rd,"Akron, OH, 44319-4654",James E. Robinson,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Green Local,37693094.07,Scioto,4070 Gallia Pike,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,A,86.0,100,86,NC,73.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Green Local,37693094.07,Summit,PO Box 218,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,30.5,174,53,11,17.5,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Green Local,37693094.07,Wayne,PO Box 438,"Smithville, OH, 44677-0438",Dean E. Frank,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Hudson City,59212402.19,Summit,2400 Hudson Aurora Rd,"Hudson, OH, 44236-2322",Phillip T. Herman,B,50.3,171,86,NC,5.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Mogadore Local,9915994.41,Summit,1 S Cleveland Ave,"Mogadore, OH, 44260-1514",John A. Knapp,B,72.4,116,84,NC,54.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Nordonia Hills City,41416650.54,Summit,9370 Olde Eight Rd,"Northfield, OH, 44067",Joseph P. Clark,C,45.1,193,87,16,23.0,NC,NC,NC,NC,NC,NC,NC,NC,98.8
Revere Local,34850424.89,Summit,PO Box 340,"Bath, OH, 44210-0340",Matthew L. Montgomery,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,24987644.779999997,Lucas,6900 Hall St,"Holland, OH, 43528-9485",Matthew K. Geha,D,21.7,106,23,NC,26.3,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Springfield Local,24987644.779999997,Mahoning,PO Box 549,"New Middletown, OH, 44442-0549",Thomas Yazvac,F,-30.8,13,0,11,8.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Springfield Local,24987644.779999997,Summit,2410 Massillon Rd,"Akron, OH, 44312-4258",Charles Sincere,C,29.3,191,56,NC,53.0,NC,NC,NC,NC,NC,NC,NC,NC,89.5
Twinsburg City,44460907.3,Summit,11136 Ravenna Rd,"Twinsburg, OH, 44087-1022",Kathryn M. Powers,C,44.0,166,73,NC,14.1,29,15,26,10,62,25,49,31,100.0
Bloomfield-Mespo Local,3606765.37,Trumbull,2077 Park Rd W,"North Bloomfield, OH, 44450-0730",John R. Sheets,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Bristol Local,6085227.5600000005,Trumbull,PO Box 260,"Bristolville, OH, 44402-0260",Christopher J. Dray,A,75.0,12,9,NC,28.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Brookfield Local,9520756.68,Trumbull,614 Bedford Rd SE,"Brookfield, OH, 44403-9756",Velina J. Taylor,B,68.0,50,34,NC,17.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Champion Local,13788066.540000001,Trumbull,5976 Mahoning Ave NW,"Warren, OH, 44483-1144",Pamela F. Hood,C,40.5,84,34,NC,20.7,NC,NC,NC,NC,NC,NC,NC,NC,99.0
Mathews Local,8020291.899999999,Trumbull,4096 Cadwallader Sonk Rd,"Cortland, OH, 44410-9445",Lewis L. Lowery,C,44.0,25,11,NC,32.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Howland Local,28514927.72,Trumbull,8200 South St SE,"Warren, OH, 44484-2447",Kevin R. Spicher,C,47.0,115,54,NC,27.1,NC,NC,NC,NC,NC,NC,NC,NC,98.9
Joseph Badger Local,7931452.82,Trumbull,7119 State Route 7,"Kinsman, OH, 44428-9788",David D. Bair,A,100.0,10,10,NC,22.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lakeview Local,14936471.879999999,Trumbull,300 Hillman Dr,"Cortland, OH, 44410-1562",Robert A. Wilson,B,50.0,134,67,NC,12.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Liberty Local,14000126.260000002,Trumbull,4115 Shady Rd,"Youngstown, OH, 44505-1353",Joseph S. Nohra,C,31.9,94,30,NC,34.7,NC,NC,NC,NC,NC,NC,NC,NC,93.4
Lordstown Local,7530889.15,Trumbull,1824 Salt Springs Rd,"Warren, OH, 44481-9735",Terry P. Armstrong,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Maplewood Local,8483815.95,Trumbull,2414 Greenville Rd,"Cortland, OH, 44410-9648",Perry D. Nicholas,A,90.9,11,10,NC,27.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
McDonald Local,6929057.12,Trumbull,600 Iowa Ave,"Mc Donald, OH, 44437-1677",Kevin R. O'Connell,A,82.4,17,14,NC,17.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southington Local,5000590.08,Trumbull,2482 State Route 534,"Southington, OH, 44470-9524",Rocco Nero,B,65.2,23,15,NC,51.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
LaBrae Local,12540963.07,Trumbull,1001 N Leavitt Rd,"Leavittsburg, OH, 44430-9644",Anthony J. Calderone,C,38.6,88,34,NC,28.1,NC,NC,NC,NC,NC,NC,NC,NC,95.2
Weathersfield Local,9442589.540000001,Trumbull,1334 Seaborn St,"Mineral Ridge, OH, 44440-9571",Damon J. Dohar,B,66.7,15,10,NC,31.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Garaway Local,11256713.39,Tuscarawas,146 Dover Rd NW,"Sugarcreek, OH, 44681-9309",James A. Millet,C,42.0,112,47,NC,30.8,35,19,30,13,26,10,21,10,100.0
Indian Valley Local,17283280.27,Tuscarawas,PO Box 171,"Gnadenhutten, OH, 44629-0171",Gary I. Wentworth,C,44.7,141,63,NC,21.0,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Strasburg-Franklin Local,5886058.76,Tuscarawas,140 N Bodmer Ave,"Strasburg, OH, 44680-1122",Cynthia L. Brown,C,34.3,35,12,NC,9.6,NC,NC,NC,NC,NC,NC,NC,NC,90.4
Tuscarawas Valley Local,13180406.04,Tuscarawas,2637 Tuscarawas Valley Rd NE,"Zoarville, OH, 44656-9692",Mark A. Murphy,C,39.5,162,64,NC,59.0,NC,NC,NC,NC,NC,NC,NC,NC,98.0
Fairbanks Local,11803640.99,Union,11158 State Route 38,"Milford Center, OH, 43045-9764",Robert J. Humble,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,87.8
North Union Local School District,17200188.24,Union,12920 State Route 739,"Richwood, OH, 43344-9728",Richard J. Baird,C,45.5,110,50,11,11.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Crestview Local,10033391.44,Columbiana,44100 Crestview Rd Ste A,"Columbiana, OH, 44408-9660",Matthew T. Manley,B,50.5,109,55,NC,44.7,NC,NC,NC,NC,NC,NC,NC,NC,93.0
Crestview Local,10033391.44,Richland,1575 State Route 96,"Ashland, OH, 44805-9262",Larry R. Dunlap,C,36.0,125,45,NC,54.4,NC,NC,NC,NC,NC,NC,NC,NC,97.1
Crestview Local,10033391.44,Van Wert,531 E Tully St,"Convoy, OH, 45832-8864",Michael Y. Estes,C,35.0,60,21,NC,36.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lincolnview Local,8781905.64,Van Wert,15945 Middle Point Rd,"Van Wert, OH, 45891-9769",Jeffrey T. Snyder,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Vinton County Local,25881946.35,Vinton,307 W High St,"Mc Arthur, OH, 45651-1093",Rick L. Brooks,B,53.0,249,132,NC,6.0,54,31,79,48,64,26,52,27,98.4
Carlisle Local,16219449.75,Warren,724 Fairview Dr,"Carlisle, OH, 45005-3148",Larry R. Hook,C,41.7,103,43,NC,36.6,NC,NC,NC,NC,NC,NC,NC,NC,99.1
Springboro Community City,48512652.42,Warren,1685 S Main St,"Springboro, OH, 45066-1524",Daniel J. Schroer,C,41.8,273,114,NC,16.1,NC,NC,NC,NC,NC,NC,NC,NC,99.2
Kings Local,45518366.28,Warren,1797 King Ave,"Kings Mills, OH, 45034",Timothy A. Ackermann,B,62.6,115,72,NC,11.6,NC,NC,NC,NC,NC,NC,NC,NC,99.7
Little Miami Local,40663163.41,Warren,7247 Zoar Rd,"Maineville, OH, 45039-8098",Gregory Power,C,35.3,283,100,34,27.9,NC,NC,NC,NC,NC,NC,NC,NC,99.4
Mason City,110515464.01,Warren,211 N East St,"Mason, OH, 45040-1760",Gail E. Kist,B,49.3,341,168,NC,18.1,81,37,90,39,123,82,47,10,99.7
Wayne Local,12889275.52,Warren,659 Dayton Rd,"Waynesville, OH, 45068-9588",Patrick E. Dubbs,A,88.1,67,59,NC,28.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Fort Frye Local,9822700.45,Washington,510 5th St,"Beverly, OH, 45715-8916",Stephanie D. Starcher,C,42.6,61,26,NC,47.8,NC,NC,NC,NC,NC,NC,NC,NC,98.4
Frontier Local,7726614.449999999,Washington,44870 State Route 7,"New Matamoras, OH, 45767-6149",Brian J. Rentsch,C,26.2,61,16,NC,58.3,NC,NC,NC,NC,NC,NC,NC,NC,92.3
Warren Local,20495168.73,Washington,220 Sweetapple Rd,"Vincent, OH, 45784-5005",Kyle R. Newton,B,56.8,155,88,NC,40.4,56,45,33,19,37,14,29,12,97.6
Wolf Creek Local,7288363.720000001,Washington,PO Box 67,"Waterford, OH, 45786-0067",Douglas A. Baldwin,D,22.6,31,7,NC,19.2,NC,NC,NC,NC,NC,NC,NC,NC,97.8
Chippewa Local,12482386.84,Wayne,56 N Portage St,"Doylestown, OH, 44230-1350",Sandra J. Stebly,C,47.1,70,33,NC,34.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Dalton Local,8284254.15,Wayne,PO Box 514,"Dalton, OH, 44618-0514",James R. Saxer,C,36.2,47,17,NC,17.7,NC,NC,NC,NC,NC,NC,NC,NC,98.1
Green Local,10659911.28,Scioto,4070 Gallia Pike,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,A,86.0,100,86,NC,73.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Green Local,10659911.28,Summit,PO Box 218,"Green, OH, 44232-0218",Jeffrey L. Miller II,C,30.5,174,53,11,17.5,NC,NC,NC,NC,NC,NC,NC,NC,98.3
Green Local,10659911.28,Wayne,PO Box 438,"Smithville, OH, 44677-0438",Dean E. Frank,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Norwayne Local,11695114.93,Wayne,350 S Main St,"Creston, OH, 44217-9665",Karen E. O'Hare,C,35.8,81,29,NC,28.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northwestern Local,16247744.11,Clark,5610 Troy Rd,"Springfield, OH, 45502-9032",Jesse D. Steiner,C,32.5,83,27,NC,15.9,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northwestern Local,16247744.11,Wayne,7571 N Elyria Rd,"West Salem, OH, 44287-9707",Jeffrey N. Layton,F,-71.4,21,0,28,7.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Southeast Local,16476318.110000001,Portage,8245 Tallmadge Rd,"Ravenna, OH, 44266-8547",Robert C. Dunn,B,52.1,119,62,NC,31.6,NC,NC,NC,NC,NC,NC,NC,NC,90.6
Southeast Local,16476318.110000001,Wayne,9048 Dover Rd,"Apple Creek, OH, 44606-9408",James J. Ritchie,C,31.1,119,37,NC,37.2,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Triway Local,18219687.35,Wayne,3205 Shreve Rd,"Wooster, OH, 44691-4439",Nathan G. Schindewolf,B,55.4,83,46,NC,25.6,NC,NC,NC,NC,NC,NC,NC,NC,99.3
Edgerton Local,5966223.58,Williams,111 E River St,"Edgerton, OH, 43517-9623",Kermit E. Riehle,B,58.1,31,18,NC,22.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Edon Northwest Local,6074462.32,Williams,802 W Indiana St,"Edon, OH, 43518-9627",Anthony J. Stevens,C,48.4,64,31,NC,56.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Millcreek-West Unity Local,6031045.32,Williams,1401 W Jackson St,"West Unity, OH, 43570-9465",Larry E. Long,B,50.0,60,30,NC,30.4,NC,NC,NC,NC,NC,NC,NC,NC,100.0
North Central Local,6721477.949999999,Williams,400 E Baubice St,"Pioneer, OH, 43554-9637",William D. Hanak,C,27.3,33,9,NC,14.6,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Stryker Local,4507378.64,Williams,400 S Defiance St,"Stryker, OH, 43557-9307",Nate R. Johnson,A,81.3,16,13,NC,57.7,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Eastwood Local,15967049.459999999,Wood,4800 Sugar Ridge Rd,"Pemberville, OH, 43450-9626",William B. Welker,B,63.0,46,29,NC,35.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Elmwood Local,13034785.82,Wood,7650 Jerry City Rd,"Bloomdale, OH, 44817-9763",Tony D. Borton,D,17.9,28,5,15,17.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Lake Local,15045645.87,Stark,436 King Church Ave SW,"Uniontown, OH, 44685-8220",Kevin T. Tobin,C,45.9,157,72,NC,14.3,46,33,31,11,39,12,41,21,100.0
Lake Local,15045645.87,Wood,28090 Lemoyne Rd,"Millbury, OH, 43447-9747",James T. Witt,C,46.6,161,75,NC,28.0,NC,NC,NC,NC,NC,NC,NC,NC,100.0
North Baltimore Local,8373557.640000001,Wood,201 S Main St,"North Baltimore, OH, 45872-1354",Ryan G. Delaney,B,73.3,45,33,NC,53.1,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Northwood Local Schools,10944546.0,Wood,500 Lemoyne Rd,"Northwood, OH, 43619-1810",Gregory A. Clark,D,17.1,41,7,NC,31.7,NC,NC,NC,NC,NC,NC,NC,NC,90.9
Otsego Local,14551328.629999999,Wood,18505 Tontogany Creek Rd Ste 1,"Bowling Green, OH, 43402-0290",Adam E. Koch,F,-4.1,49,0,15,7.5,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Mohawk Local,9559565.530000001,Wyandot,295 State Highway 231,"Sycamore, OH, 44882-9434",Kenneth D. Ratliff,C,27.9,43,12,NC,6.1,NC,NC,NC,NC,NC,NC,NC,NC,94.9
Adams County Ohio Valley Local,42367885.19,Adams,141 Lloyd Rd,"West Union, OH, 45693-8974",Richard A. Seas,C,32.8,506,166,NC,74.1,NC,NC,NC,NC,NC,NC,NC,NC,97.2
College Corner Local,307135.61,,,,,,,,,,,,,,,,,,,
Gallia County Local,27694678.77,Gallia,4836 State Route 325,"Patriot, OH, 45658-8960",Jude E. Meyers,F,-16.0,50,0,34,27.3,NC,NC,NC,NC,NC,NC,NC,NC,93.9
East Guernsey Local,12658196.77,Guernsey,PO Box 128,"Old Washington, OH, 43768-0128",Adam M. Pittis,B,61.4,70,43,NC,51.9,NC,NC,NC,NC,NC,NC,NC,NC,98.6
Tri-County North Local,9003085.05,Preble,436 N Commerce St,"Lewisburg, OH, 45338-0040",William K. Derringer,C,25.7,35,9,NC,46.3,NC,NC,NC,NC,NC,NC,NC,NC,100.0
Monroe Local,22095497.31,Butler,500 Yankee Rd,"Monroe, OH, 45050-1068",Philip F. Cagwin,B,69.1,68,47,NC,34.8,NC,NC,NC,NC,NC,NC,NC,NC,100.0
